"country_country_id","tournament_tournament_id"
"germany","worldcup_2006"
"southkorea","worldcup_2002"
"japan","worldcup_2002"
"france","worldcup_1998"
"southafrica","worldcup_2010"
"russia","worldcup_2018"
"argentina","worldcup_1978"
"italy","worldcup_1990"
"spain","worldcup_1982"
"westgermany","worldcup_1974"
"brazil","worldcup_2014"
"england","worldcup_1966"
"mexico","worldcup_1970"
"mexico","worldcup_1986"
"unitedstates","worldcup_1994"
